undefined21-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,6856.456278354705USD,6310.620650491164EUR,moola-market, USD, EUR,mobius,0.0032698282212558767USD,0.0030095891327825614EUR,weth,171.45641642665788USD,157.80694257134806EUR,wrapped-bitcoin,6853.868348285219USD,6308.238742946588EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5347904942320182USD,0.4922275883770804EUR,truefeedbackchain,0.00011420291957614201USD,0.00010511373761291604EUR,premio, USD, EUR,usd-coin,0.9997959263158033USD,0.9202031724177283EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.419880359487937USD,3.1476271039494614EUR,saber, USD, EUR,fantom,0.0030190032823973283USD,0.002778663450088959EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.027804337444612USD,13.831455861944999EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
02-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8824.818413551968USD,7954.947237709745EUR,moola-market, USD, EUR,mobius,0.0030492906751326565USD,0.0027487190439941566EUR,weth,212.11403542433624USD,191.2057428385239EUR,wrapped-bitcoin,8850.828010004021USD,7978.393042229909EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.7169539321663891USD,0.646283066118816EUR,truefeedbackchain,0.00014792244518150837USD,0.00013334158183752183EUR,premio, USD, EUR,usd-coin,0.997508088505031USD,0.8991827187130017EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.246964454758204USD,3.8283369214882366EUR,saber, USD, EUR,fantom,0.004934243183779811USD,0.004447869898911457EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,17.451782873526643USD,15.731543183900264EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
03-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8966.307014689282USD,8081.762895076149EUR,moola-market, USD, EUR,mobius,0.003254176404417368USD,0.0029331453937687844EUR,weth,214.43814730600278USD,193.28339519797103EUR,wrapped-bitcoin,8930.481032384616USD,8049.4712175778095EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.7124378933182761USD,0.6421544702666416EUR,truefeedbackchain,0.00014142607084087312USD,0.00012747410610027934EUR,premio, USD, EUR,usd-coin,0.9992169585403311USD,0.9006422071464105EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.278501045793579USD,3.8564183606239535EUR,saber, USD, EUR,fantom,0.004950088690702653USD,0.004461752541187455EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,17.519661263697216USD,15.79131164071096EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
04-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8888.671912686868USD,8110.104251182714EUR,moola-market, USD, EUR,mobius,0.00297503505445258USD,0.002714421983682535EUR,weth,209.72412151913466USD,191.35228847405838EUR,wrapped-bitcoin,8940.169124047288USD,8157.010308780744EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6866098174679662USD,0.6264627974577719EUR,truefeedbackchain,0.00013879979440626082USD,0.00012664093241627228EUR,premio, USD, EUR,usd-coin,1.0000801583336454USD,0.9124731364636183EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.200160073176584USD,3.8322260507663164EUR,saber, USD, EUR,fantom,0.004654596185054622USD,0.004246895450609503EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,17.094938351330704USD,15.59742175175414EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
05-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8884.407813577056USD,8147.88152142371EUR,moola-market, USD, EUR,mobius,0.0028824709644574877USD,0.002643522768916856EUR,weth,206.80426134454402USD,189.6608084918654EUR,wrapped-bitcoin,8891.621853538752USD,8154.533076745953EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6728297405546847USD,0.6170514822329612EUR,truefeedbackchain,0.0001350277110239852USD,0.0001238337787523859EUR,premio, USD, EUR,usd-coin,0.9994980599431069USD,0.9166426692680035EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.134490629369611USD,3.7917537596667596EUR,saber, USD, EUR,fantom,0.004373326892449186USD,0.004010791213045827EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,17.01924643648172USD,15.6084019646367EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
06-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,9003.240557621584USD,8305.957582914905EUR,moola-market, USD, EUR,mobius,0.0030127045668967016USD,0.0027796537924198394EUR,weth,205.17457166888656USD,189.28421144227454EUR,wrapped-bitcoin,9017.112971706574USD,8318.755606273842EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6503081490988862USD,0.5999430835674757EUR,truefeedbackchain,0.0001324756911620766USD,0.00012221571383295602EUR,premio, USD, EUR,usd-coin,1.0027353121203197USD,0.9250754676672249EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.103059366017875USD,3.785285624238521EUR,saber, USD, EUR,fantom,0.004406602256984849USD,0.0040653197253858854EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.883233236755714USD,15.575660589035454EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
07-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,9144.68703972007USD,8468.364275636452EUR,moola-market, USD, EUR,mobius,0.0029108457430232952USD,0.0026955654135607777EUR,weth,201.8488314847128USD,186.92049560576638EUR,wrapped-bitcoin,9176.290960964761USD,8497.630834073729EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6194003582280405USD,0.5735907465342109EUR,truefeedbackchain,0.00012198785499953279USD,0.00011296392541379729EUR,premio, USD, EUR,usd-coin,0.9902590523189618USD,0.9170214733275559EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.004878819739875USD,3.7086859919895554EUR,saber, USD, EUR,fantom,0.004053154711861961USD,0.003753391495682073EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.51209313539124USD,15.290891751283972EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
08-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,9959.166416261767USD,9190.388483091274EUR,moola-market, USD, EUR,mobius,0.0030076556258193158USD,0.002775485665095444EUR,weth,212.69221131532962USD,196.27386144726526EUR,wrapped-bitcoin,9971.813132542005USD,9202.058961401684EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6089398899298076USD,0.5619339930064564EUR,truefeedbackchain,0.00013076361156129314USD,0.00012066957609404216EUR,premio, USD, EUR,usd-coin,0.9996850398559134USD,0.9225163525743154EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.240272817281161USD,3.9129534376967743EUR,saber, USD, EUR,fantom,0.004041698684682521USD,0.0037297078381158207EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.973507971075282USD,15.66327197026406EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
09-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,9821.81131529702USD,8954.565019778931EUR,moola-market, USD, EUR,mobius,0.003016438223525808USD,0.0027495920325198205EUR,weth,211.19543274142984USD,192.54729842122705EUR,wrapped-bitcoin,9832.349945675393USD,8962.540940081164EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.608939662026112USD,0.5550704237646342EUR,truefeedbackchain,0.00013138172683578716USD,0.00011975917375298611EUR,premio, USD, EUR,usd-coin,0.9958660723562558USD,0.907933089899344EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.228657063351536USD,3.8545731448992036EUR,saber, USD, EUR,fantom,0.0042030669331372394USD,0.0038312468199641877EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,17.17429638517618USD,15.65784036295791EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
10-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,9566.777187205966USD,8720.46181011697EUR,moola-market, USD, EUR,mobius,0.0031886599994061593USD,0.002906578381218693EUR,weth,210.53112910134342USD,191.90670329652212EUR,wrapped-bitcoin,9466.976758720028USD,8629.490126736611EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.6017917957668725USD,0.5485548863461517EUR,truefeedbackchain,0.00013307527209271966USD,0.00012130290122230923EUR,premio, USD, EUR,usd-coin,0.9980518561448015USD,0.9097601967428072EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,4.2037452597210505USD,3.8318651390650875EUR,saber, USD, EUR,fantom,0.003668995233792902USD,0.0033444212394306448EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.831057985373022USD,15.342115271754977EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
11-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8752.617087745832USD,8076.68748052757EUR,moola-market, USD, EUR,mobius,0.0031191393681487024USD,0.002877805316956302EUR,weth,188.32030932522645USD,173.76314941438648EUR,wrapped-bitcoin,8749.475116589014USD,8069.553405278878EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.541777928609612USD,0.4998984947280891EUR,truefeedbackchain,0.00012378519794509286USD,0.00011420768960968514EUR,premio, USD, EUR,usd-coin,1.0009524586031848USD,0.9235788335531585EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.762143511148601USD,3.471420109181083EUR,saber, USD, EUR,fantom,0.003615035049997731USD,0.0033341106762624097EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.319104122325577USD,14.13607098737486EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
12-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8604.75159101983USD,7961.116172011543EUR,moola-market, USD, EUR,mobius,0.0027516373685544395USD,0.0025458148933865652EUR,weth,185.4274529197791USD,171.54190353533443EUR,wrapped-bitcoin,8569.985576878216USD,7928.402176650806EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5139234956267317USD,0.47548201815385177EUR,truefeedbackchain,0.00012118350183240218USD,0.0001121087964811846EUR,premio, USD, EUR,usd-coin,0.9968589434492247USD,0.9222101583279733EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.7287217573058484USD,3.4495001572317583EUR,saber, USD, EUR,fantom,0.003985406617836523USD,0.003687043136798809EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.079060743079339USD,13.949880358394582EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
13-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,8788.466749414652USD,8101.085611075934EUR,moola-market, USD, EUR,mobius,0.0030814632495125946USD,0.002840545208275951EUR,weth,189.36892671415677USD,174.6049677118141EUR,wrapped-bitcoin,8874.4852883433USD,8180.75789886821EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5333426539131136USD,0.49176112724343185EUR,truefeedbackchain,0.00012414852029157957USD,0.00011444370631186644EUR,premio, USD, EUR,usd-coin,0.9984829877834487USD,0.920387639376954EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.814915419866819USD,3.5166538875953703EUR,saber, USD, EUR,fantom,0.003945704127750962USD,0.003637627495160294EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.737907614097121USD,14.506982907968128EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
14-05-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,9283.08601265873USD,8578.852541566412EUR,moola-market, USD, EUR,mobius,0.0030748118956731023USD,0.002841532066772173EUR,weth,199.48647256584988USD,184.34265648748598EUR,wrapped-bitcoin,9391.026468144599USD,8678.5480720594EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5533191018747785USD,0.511437272415673EUR,truefeedbackchain,0.00013036955759726624USD,0.00012047385632784573EUR,premio, USD, EUR,usd-coin,0.9992437824780578USD,0.9233871899750187EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.99890451498647USD,3.696443373090953EUR,saber, USD, EUR,fantom,0.004661954375999533USD,0.004307850969416113EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,16.178744648828747USD,14.9513927222793EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
